id,identity,seed,arm,within_scale_test,common_fresh_test,mse,rmse,mae,cosine,pearson,source_mse,source_mae
1197,CC#CCC(C)C,11,baseline,True,True,0.017346709966659546,0.13170690834522247,0.054604142904281616,0.9655610918998718,0.9591493010520935,1.095737899852895e-05,0.0013723673515516456
1211,C#CCOC(C)=O,11,baseline,True,True,0.01835312508046627,0.13547371327877045,0.057616133242845535,0.9387533068656921,0.9265462756156921,1.1593100230567944e-05,0.0014480677834965263
1216,N#CCNC(N)=O,11,baseline,True,True,0.07511886209249496,0.2740781903266907,0.09679032117128372,0.981338381767273,0.9785586595535278,4.74502567615248e-05,0.0024326336731356735
1244,C#CCCC(C)O,11,baseline,True,True,0.01573287323117256,0.12543074786663055,0.0515759140253067,0.955655574798584,0.9472746253013611,9.937968356022836e-06,0.0012962587959459656
1276,CCCCC(N)=O,11,baseline,True,True,0.013108751736581326,0.11449345201253891,0.048275455832481384,0.9930629134178162,0.9920157194137573,8.280392146488766e-06,0.0012133082938762876
1287,NC(=O)CCCO,11,baseline,True,True,0.01821722276508808,0.13497118651866913,0.047030266374349594,0.9861673712730408,0.9838800430297852,1.1507254950440557e-05,0.0011820129146624448
1307,CC1(N)COC1=O,11,baseline,True,True,0.04667267948389053,0.21603861451148987,0.08642752468585968,0.9288809895515442,0.9159977436065674,2.9481684939956214e-05,0.002172185238072792
1325,CC1(C)OC1C#N,11,baseline,True,True,0.012278234586119652,0.11080719530582428,0.05059099569916725,0.987610936164856,0.9842871427536011,7.755780205672459e-06,0.001271504817898767
1344,CC1(C)CN=CO1,11,baseline,True,True,0.0456460677087307,0.21364940702915192,0.08890880644321442,0.930922269821167,0.9162138104438782,2.8833206102966406e-05,0.0022345473573677243
1364,C#CCC(=O)C#C,11,baseline,True,True,0.022766053676605225,0.1508842408657074,0.07410504668951035,0.9396401047706604,0.9270349144935608,1.4380610439378588e-05,0.0018624840763487181
1386,CC#CC(=O)C=O,11,baseline,True,True,0.38523349165916443,0.620671808719635,0.29399681091308594,0.48994961380958557,0.40743279457092285,0.0002433400557886293,0.007389029536910553
1400,N#CCC(N)C#N,11,baseline,True,True,0.01104716956615448,0.10510551929473877,0.03680456802248955,0.9467615485191345,0.9350456595420837,6.97815459127547e-06,0.0009250101705756438
1404,N#CCC(O)C#N,11,baseline,True,True,0.01254489179700613,0.11200398206710815,0.04649275541305542,0.9472348690032959,0.9408009648323059,7.92421930034745e-06,0.001168503637615933
1412,CC(C#N)CC=O,11,baseline,True,True,0.004675145260989666,0.06837503612041473,0.02675466425716877,0.9921382665634155,0.9908834099769592,2.9531443481962564e-06,0.0006724256764294915
1418,CC(C#N)OC=O,11,baseline,True,True,0.032456208020448685,0.18015606701374054,0.0760815441608429,0.9671815037727356,0.9626352190971375,2.0501580577451473e-05,0.0019121594389825758
1419,C#CC(O)CC=O,11,baseline,True,True,0.044126223772764206,0.2100624293088913,0.08523497730493546,0.8842315673828125,0.8717154264450073,2.7873167798468956e-05,0.002142212913562036
1435,C#CCC(=O)CC,11,baseline,True,True,0.009507803246378899,0.09750796854496002,0.04058937728404999,0.9722979664802551,0.967400312423706,6.005784602051518e-06,0.001020133880721977
1437,C#CCC(=O)NC,11,baseline,True,True,0.07760228216648102,0.27857187390327454,0.08971197158098221,0.9564945697784424,0.9506927728652954,4.901895624491509e-05,0.0022547333277785986
1443,CCC(=N)NC=O,11,baseline,True,True,0.017237912863492966,0.13129322230815887,0.055715855211019516,0.9926958084106445,0.9914407730102539,1.0888655240788746e-05,0.0014003080460289804
1447,CCC(=O)OC=N,11,baseline,True,True,0.09093141555786133,0.3015483617782593,0.13255718350410461,0.9796972274780273,0.9753353595733643,5.7438556651678956e-05,0.003331563159476111
1465,CC#CC(C)CC,11,baseline,True,True,0.09225040674209595,0.30372750759124756,0.10583826154470444,0.9466262459754944,0.9384901523590088,5.8271722498641025e-05,0.002660035795151125
1488,O=CCC(O)CO,11,baseline,True,True,0.09559156745672226,0.3091788589954376,0.1022431030869484,0.977333664894104,0.9768589735031128,6.0382230157760335e-05,0.002569678583616315
1492,CCCC(=O)C#N,11,baseline,True,True,0.090824194252491,0.3013705313205719,0.12034085392951965,0.8533177971839905,0.8195040225982666,5.7370828276562416e-05,0.0030245298288121003
1496,CCOC(=N)C#N,11,baseline,True,True,0.2024400681257248,0.44993340969085693,0.17518161237239838,0.850365400314331,0.8087130188941956,0.00012787511610011358,0.004402844044882976
1498,CCOC(=O)C#N,11,baseline,True,True,0.093183234333992,0.3052592873573303,0.12823806703090668,0.931870698928833,0.9168996214866638,5.886096077404516e-05,0.0032230106922071676
1500,C#CC(=O)COC,11,baseline,True,True,0.04326619952917099,0.20800529420375824,0.101180799305439,0.9058012366294861,0.8858178853988647,2.732991714153826e-05,0.002542979674895617
1559,CCCN(C)C=O,11,baseline,True,True,0.009370910935103893,0.0968034639954567,0.04000776633620262,0.996300220489502,0.9956332445144653,5.919313972202527e-06,0.0010055162375601767
1569,CCC(O)COC,11,baseline,True,True,0.027351297438144684,0.1653822809457779,0.07270326465368271,0.9307713508605957,0.9151655435562134,1.727696679700457e-05,0.001827253051784635
1570,CCCC(C)CC,11,baseline,True,True,0.013013258576393127,0.1140756756067276,0.045424312353134155,0.9640779495239258,0.9594321250915527,8.220072077152251e-06,0.001141650430250363
1575,CCOC(C)CC,11,baseline,True,True,0.075848788022995,0.2754065990447998,0.09257955104112625,0.8772190809249878,0.8522042036056519,4.791132834666775e-05,0.0023268042773397024
1589,NC(=O)C(=O)C=O,11,baseline,True,True,0.25513964891433716,0.5051134824752808,0.21133311092853546,0.8253428339958191,0.8030920028686523,0.0001611638077813765,0.005311440603482539
